station,datetime,TEC,Bz_GSM,speed_kms,Kp,TEC_baseline,TEC_disturbance,TEC_lag1,Bz_lag1,Kp_lag1,speed_lag1,TEC_lag2,Bz_lag2,Kp_lag2,speed_lag2,TEC_lag3,Bz_lag3,Kp_lag3,speed_lag3,target_1h,target_3h,target_6h,risk_1h
IITK,2026-01-15 05:00:00,-64.08667252982025,-1.7,486.0,2.0,-57.72514073311066,-6.361531796709585,-60.01785166295512,1.3,2.0,509.0,-55.43242980326621,2.3,2.0,521.0,-60.59940955541056,0.0,2.7,542.0,-7.297648154328627,3.696977591336641,6.161705404570526,Green
IITK,2026-01-15 06:00:00,-67.60627876351147,-2.5,495.0,2.7,-60.30863060918284,-7.297648154328627,-64.08667252982025,-1.7,2.0,486.0,-60.01785166295512,1.3,2.0,509.0,-55.43242980326621,2.3,2.0,521.0,-1.1076916696329704,-13.426146723800535,8.837477068887473,Green
IITK,2026-01-15 07:00:00,-62.8147928946765,1.8,549.0,2.7,-61.70710122504353,-1.1076916696329704,-67.60627876351147,-2.5,2.7,495.0,-64.08667252982025,-1.7,2.0,486.0,-60.01785166295512,1.3,2.0,509.0,3.696977591336641,-3.5462303373568176,11.779202721029373,Green
IITK,2026-01-15 08:00:00,-57.71934468747917,-4.3,571.0,2.7,-61.41632227881581,3.696977591336641,-62.8147928946765,1.8,2.7,549.0,-67.60627876351147,-2.5,2.7,495.0,-64.08667252982025,-1.7,2.0,486.0,-13.426146723800535,6.161705404570526,13.695135604219075,Green
IITK,2026-01-15 09:00:00,-76.87687943604891,-2.4,617.0,2.3,-63.45073271224837,-13.426146723800535,-57.71934468747917,-4.3,2.7,571.0,-62.8147928946765,1.8,2.7,549.0,-67.60627876351147,-2.5,2.7,495.0,-3.5462303373568176,8.837477068887473,13.43378845250345,Green
IITK,2026-01-15 10:00:00,-69.39270598402267,-0.9,620.0,2.3,-65.84647564666585,-3.5462303373568176,-76.87687943604891,-2.4,2.3,617.0,-57.71934468747917,-4.3,2.7,571.0,-62.8147928946765,1.8,2.7,549.0,6.161705404570526,11.779202721029373,1.9965306862903915,Green
IITK,2026-01-15 11:00:00,-59.04883042452346,0.8,628.0,2.3,-65.21053582909398,6.161705404570526,-69.39270598402267,-0.9,2.3,620.0,-76.87687943604891,-2.4,2.3,617.0,-57.71934468747917,-4.3,2.7,571.0,8.837477068887473,13.695135604219075,1.611949930745233,Green
IITK,2026-01-15 12:00:00,-52.094334590712506,1.5,639.0,1.0,-60.93181165959998,8.837477068887473,-59.04883042452346,0.8,2.3,628.0,-69.39270598402267,-0.9,2.3,620.0,-76.87687943604891,-2.4,2.3,617.0,11.779202721029373,13.43378845250345,4.752401231660144,Green
IITK,2026-01-15 13:00:00,-46.60488483497195,0.9,587.0,1.0,-58.38408755600132,11.779202721029373,-52.094334590712506,1.5,1.0,639.0,-59.04883042452346,0.8,2.3,628.0,-69.39270598402267,-0.9,2.3,620.0,13.695135604219075,1.9965306862903915,-2.014028781204708,Green
IITK,2026-01-15 14:00:00,-41.87644690339891,0.3,576.0,1.0,-55.57158250761798,13.695135604219075,-46.60488483497195,0.9,1.0,587.0,-52.094334590712506,1.5,1.0,639.0,-59.04883042452346,0.8,2.3,628.0,13.43378845250345,1.611949930745233,-3.3801566796652054,Green
IITK,2026-01-15 15:00:00,-35.915821260338774,-1.6,593.0,3.0,-49.34960971284222,13.43378845250345,-41.87644690339891,0.3,1.0,576.0,-46.60488483497195,0.9,1.0,587.0,-52.094334590712506,1.5,1.0,639.0,1.9965306862903915,4.752401231660144,-3.196992161684612,Green
IITK,2026-01-15 16:00:00,-42.611823462391165,-0.4,621.0,3.0,-44.60835414868156,1.9965306862903915,-35.915821260338774,-1.6,3.0,593.0,-41.87644690339891,0.3,1.0,576.0,-46.60488483497195,0.9,1.0,587.0,1.611949930745233,-2.014028781204708,0.4017556004554379,Green
IITK,2026-01-15 17:00:00,-40.6321852521498,-0.7,628.0,3.0,-42.24413518289504,1.611949930745233,-42.611823462391165,-0.4,3.0,621.0,-35.915821260338774,-1.6,3.0,593.0,-41.87644690339891,0.3,1.0,576.0,4.752401231660144,-3.3801566796652054,4.184517197833209,Green
IITK,2026-01-15 18:00:00,-36.50191484611421,-0.5,626.0,3.0,-41.25431607777436,4.752401231660144,-40.6321852521498,-0.7,3.0,628.0,-42.611823462391165,-0.4,3.0,621.0,-35.915821260338774,-1.6,3.0,593.0,-2.014028781204708,-3.196992161684612,-2.2002595768303834,Green
IITK,2026-01-15 19:00:00,-43.26834485897906,-1.9,615.0,3.0,-41.25431607777436,-2.014028781204708,-36.50191484611421,-0.5,3.0,626.0,-40.6321852521498,-0.7,3.0,628.0,-42.611823462391165,-0.4,3.0,621.0,-3.3801566796652054,0.4017556004554379,-3.1643247009645137,Green
IITK,2026-01-15 20:00:00,-45.00216103693569,-0.5,611.0,3.0,-41.62200435727048,-3.3801566796652054,-43.26834485897906,-1.9,3.0,615.0,-36.50191484611421,-0.5,3.0,626.0,-40.6321852521498,-0.7,3.0,628.0,-3.196992161684612,4.184517197833209,-11.888740920934737,Green
IITK,2026-01-15 21:00:00,-46.13707632236973,2.5,599.0,2.3,-42.94008416068512,-3.196992161684612,-45.00216103693569,-0.5,3.0,611.0,-43.26834485897906,-1.9,3.0,615.0,-36.50191484611421,-0.5,3.0,626.0,0.4017556004554379,-2.2002595768303834,-25.888532377390483,Green
IITK,2026-01-15 22:00:00,-42.46483365806819,1.6,607.0,2.3,-42.866589258523625,0.4017556004554379,-46.13707632236973,2.5,2.3,599.0,-45.00216103693569,-0.5,3.0,611.0,-43.26834485897906,-1.9,3.0,615.0,4.184517197833209,-3.1643247009645137,-26.763684122567568,Green
